,input,reply
3662,how thickdeep of an air bed will it hold,8 9 inches
3663,how much space is between the shelves,approximately 9 inches
3664,whats the height between the shelves,7 inches
3665,are these shelves stackable,yes they are
3666,what is the length of this,975 inches
3667,is this mixer plastic or metal,it is plastic
3668,are the cardboard squares in side removable,yes they are
3669,is the water tank metal,yes it is
3670,are they bpa and lead free,yes they are
3671,is the inner bowl mad of stainles steal,yes it is
3672,will this hold a king sized comforter,yes it can
3673,can it be used on glass top stove,yes it can
3674,how far apart are the wall mounts,21 inches
3675,will this hold lids with little knobs farberware from 1970s,i think so
3676,are they made in usa,yes they are
3677,can these go from top burner to the oven,yes they can
3678,how deep is the pan,1 12 inches
3679,what is the depth of the hutch,about 115 inches
3680,is the inside stainless steel or teflon,teflon
3681,do these nest,yes they do
3682,where are these made us china elsewhere,made in china
3683,hi what is th depth of this pan in inches,1125 inches
3684,where was this griddle made,in the usa
3685,is this a carbon steel wok,yes it is
3686,do these have any teflon or aluminum in them,teflon
3687,is this red as listed or clear as shown,its clear
3688,how much does it weigh,about 17 lbs
3689,is the length of the mattress 75 or 78,78 inches
3690,does this skillet work on induction cooktops,yes very well
3691,what size is the 2 set,they are 9
3692,is this an 8 pie dish,it is 9
3693,what size pie plate is this,they are 9
3694,if you remove the handles how wide is it,255 inches
3695,what size is this microwave plate,125 inches across
3696,what is the length of the cutting blade,three inches
3697,what is the width of each cabinet behind doors,12 inches
3698,how tall in inches is the tumbler,seven inches
3699,where manufactured,south korea
3700,what is the diameter of the flat base,8 inches
3701,what color is box gray or black,greyish
3702,is this headboard made in the california king size,sorry no
3703,does this come in a full,sorry no
3704,seat height,24 inches
3705,how high is inside storage,4 5 inches
3706,does it also come with other color like white,sorry no
3707,what is the height of this machine,13 12 inches
3708,are these black,very dark brown
3709,how tall is this table,about 30
3710,haw hight is this table,30 inches
3711,how long are the 2 sides that touch the wall,295 inches
3712,what size height chair do you need for this desk,18 19 inches
3713,what are the dimensions of this brownie pan,about 9x13
3714,whats the height from the floor to the first shelf,335 inches
3715,is the machine a 8oz or larger,yes it is
3716,how wide are the individual panels,17 inches
3717,is the handle white or grey thanks,light gray
3718,what color are the lids,clear
3719,is this black or espresso,its black
3720,are these pale green or clear,clear
3721,do these cookware have riveted handles,yes they do
3722,is this white or offwhite,white
3723,are these glasses perfect for belgian style ale,absolutely
3724,how tall is this item,about five inches
3725,do the pot covers cover the skillets,yes they do
3726,how deep are the shelves,5 12 inches
3727,how wide is the opening for the chair,18 18 inches
3728,where is this made,made in italy
3729,do they come assembled or is assembly required,assembly is required
3730,do these have pressure release valves,yes they do
3731,what is diameter of glasses,2 34 inches
3732,is it round or oblong shaped,round
3733,where is your product manufactured,made in china
3734,do the wheelscasters lock,yes they do
3735,how tall are these letters,approximately 2
3736,what is the unit depth excluding the door,17 12 inches
3737,how much does it weight,about 35 40
3738,does it come in 18 inches wide,12 inches
3739,do the lids seal,yes they do
3740,what is the width of cabinet,24 inches
3741,what is the height of the basket,5 inches
3742,are the doors glass i have 2 toddlers,yes they are
3743,where is this machine made,where else china
3744,can it be tilted at a downward angle thanks,not really
3745,what is the depth of the largest bowl six inches,5 inches
3746,is it made in the usa,made in china
3747,is this black porcelain tea set made in japan,yes it is
3748,what is the hight of this ottoman,16 inches
3749,what is the capacity in oz,16 ounces
3750,does it have a warranty,one year manufacturers warranty
3751,can the drawers hold standard size file folders,yes it can
3752,will a magnet stick to the bottom of these pans,yes it will
3753,how high are the legs thanks in advance,325 inches
3754,what is the length,approximately 4 inches
3755,how tall is this item,about 12 inches
3756,what is the maximum height when fully extended,46 inches
3757,is this battery operated,nope cord only
3758,is this strainer stainless steel,yes it is
3759,is this pillow beige or white,white
3760,is this tea thermal bpa free,yes it is
3761,what is the internal depth of the shelves,134 inches
3762,how long is the exhast hose,about 5 feet
3763,will it grind grains,yes it will
3764,what is the warranty on this product,24 months
3765,how wide is the seat,13 inches
3766,is the first and second piece held together magnetically,yes it is
3767,is it induction compatible,yes it is
3768,what country are the forks made in china,yes they are
3769,where is it made,made in china
3770,what is the distance between shelves,about 18
3771,how deep is the 8x4 good cook loaf pan,225 inches
3772,anyone know if these are stackable,they are not
3773,are these curved for suit jackets,they are not
3774,what is measurement across,23 inches
3775,what size is it,22 inches wide
3776,so shams come with this quilt,no they dont
3777,is it bpa free,yes it is
3778,is the inside removable,yes it is
3779,where is it manufactured,made in china
3780,what is the length of shelf,23 inches long
3781,what is the diameter of this pot,8 14 inches
3782,how wide is it across the bottom,about 8 inches
3783,how tall is this table,24 inches
3784,what is the width and height,14x15x30 inches
3785,is it black metal or a dark grey,it is black
3786,how much does an individual juicewhiskey glass weigh,124 ounces
3787,how high is the seat off the ground,about 12 inches
3788,how many filters if any are included with this set,about 5
3789,what are the dimensions of the towel,30x52 inches
3790,whats the life span of this batteries,2 years
3791,are they made of clear plastic or are they metal,clear plastic
3792,what are the exact exterior dimensions thank you,19x14x12 inches
3793,what is the diameter of the base,5 38 inches
3794,what is the approximate size diameter,42 inches
3795,what is the voltage 110,yes it is
3796,can these bowls go in the microwave safely,yes they can
3797,what is the shortest height that it goes to,about 17 inches
3798,will it juice wheatgrass,yes it will
3799,capacity,30 ounces
3800,is this a clear plastic or white in color,clear plastic
3801,can this product be used on soapstone counters,dont think so
3802,is this a pack of 3,yes it is
3803,what is the seat height,about 19
3804,are the shelves adjustable,yes they are
3805,is this table suitable for use outdoors,sorry no
3806,is this pan recycle able,i dont know
3807,how long are the handles on this set d913sc,about 6 inches
3808,is this bpa free,yes it is
3809,what is the diameter of the base,15 inch
3810,what is the diameter of the base,325 inches
3811,what is the inside diameter of the ring,about 4 inches
3812,how many ounces of soap does it hold,16 ounces
3813,what is the outside diameter at the bottom,approximately 13 inches
3814,what is the warranty on the sharpener,one year
3815,what are the dimensions between each shelf,about 13 12 inches
3816,how tall is this unit when in use,about 38
3817,how wide is the center opening in inches,19 inches
3818,how wide is it,63 inches
3819,where is this grinder manufactured,made in china
3820,is it easy storage,yes it is
3821,how many swizzle straws will this hold when filled,about 500
3822,do this price include both holders or only 1,both
3823,heavy,very light weight
3824,what country was this made in,made in china
3825,how long is the cord,about 43 inches
3826,is this a black pattern or dark blue,it is black
3827,is this for a standard 18 wide cabinet or 15,15 inch
3828,what is the size when it is fully opened,80 inches
3829,where is this made from,made in china
3830,is it white or off white in color,white
3831,does anyone know the height in inches,6 inches
3832,where is it made thank you,made in china
3833,what are the dimensions,10x14 inches
3834,what are the diminsions,4x4 inches
3835,how long is this heater,30 inches
3836,is the mattress included,it is not
3837,where are these made england or china,thailand
3838,is this made of hardwood or composite,both
3839,are the 2 side shelf units adjustable,yes they are
3840,what is the spacing between bulbs,approximately 25 inches
3841,is the rubber ring in the lid removable,yes it is
3842,does it have an automatic shutoff,unfortunately not
3843,what is the seat hight,29 inches
3844,how tall is the bottom and top shelf,12 inches
3845,can this be used on stovetop,yes it can
3846,are they bpa free,i dont know
3847,what is the height from floor to tip,about 43 inches
3848,how many inches high is this,2 12 inches
3849,are these sciccors made in the usa,i think so
3850,what are the shelf widths for the componets,165 inches
3851,how wide are the center shelves,24 inches
3852,is the crock itself ceramic,yes it is
3853,are the chairs solid wood,yes they are
3854,whats the length,48 inches
3855,what is the length,48 inches
3856,what is the height of seat from the floor,about 18
3857,what is the diameter of the turntable plate,105 inches
3858,how wide is the blade,2 inches
3859,is the comforter white or red,white
3860,are the lids porceline or plastic like the ez caps,they are plastic
3861,how wide is this unit,425 inches
3862,is this unit black or brown,its black
3863,how tall is this tv stand,2625 inches
3864,is fruit fresh gluten free,yes it is
3865,where is this sharpener made,made in china
3866,what is the color,dark brown espresso
3867,how tall is the cabinet,about 24 inches
3868,how tall is this,32 inches
3869,is this item bpa free,yes it is
3870,how heavy is the box,50 pounds
3871,where are the knives manufactured,made in china
3872,does this prevent a lazy susan from operating,not at all
3873,what is the clearance between shelves,about 4 inches
3874,what is the diameter of the pot,5 inches
3875,is the cup glass or not,yes it is
3876,a regular wine bottle will fit,absolutely
3877,are these cups bpa free,yes they are
3878,how many ounces are these cups,12 ounces
3879,is i real wood or pressed wood,pressed wood
3880,is thehidden storage behind the side doors include a shelf,no there isnt
3881,how many ounces is it,5 ounces
3882,where was it made,made in china
3883,where is this tea kettle made,made in china
3884,what is the diameter inside the raised area,17 inches
3885,how many ounces do these hold,16 ounces
3886,what is the diameter of the aperture,175 inches
3887,whats the width without the window frame flaps,175 inches
3888,is there a instruction booklet,yes of course
3889,what is the cooking diameter,105 inches
3890,how many ounces do they hold,6 ounces
3891,whats the diameter of the bottom,5 6 inches
3892,what is the diameter of the dinner plate,its 10 34
3893,is this pressed wood or real wood,pressed wood
3894,does this chair come in white,sorry no
3895,is it true white or off white,it is white
3896,what is the size of the table ea diameter,40 inch
3897,does this wrench fit a ultima vll ro filter housing,dont know sorry
3898,what is the length of chair when reclined,about 74 inches
3899,what is the floor to seat height,about 185 inches
3900,how tall is this fan thanks,about 44 inches
3901,is this a twin size bed,yes it is
3902,is the ladder detachable,yes it is
3903,will this set work for model pt5 from mcs,sorry not sure
3904,how tall is this with the lid open,approximately 37 inches
3905,what is the diameter of this trash can,11 inches
3906,how wide is it across diameter,15 inches
3907,is there a texture or grain or is it smooth,smooth
3908,what is the width of the fabric many thanks,45 inches wide
3909,what is the measurement between the front two legs,its 13 inches
3910,how tall is this canner,about 105 inches
3911,where was this product made,thailand
3912,country of origin,thailand
3913,which country is this food jar made in,thailand
3914,how long is the hose,approx 4 feet
3915,are the drawers lined are the drawers lined,yes they are
3916,how tall is the headboard,56 inches
3917,can anyone give me the depth of headboard,about 10
3918,what is the height between shelves,10 inches
3919,how tall are these corelle winter white 11 oz mugs,about four inches
3920,does this come in a some sort of brown color,sorry no
3921,will these work on induction stoves,yes they will
3922,how many ounces does each bowl hold to the brim,48 ounces
3923,do the buttons make a beep when setting the timer,yes they do
3924,is the background white or ivory,mine is white
3925,what is diameter,four inches
3926,is the construction stainless steel,yes it is
3927,how deep is the tray,about a inch
3928,what is the width front wheel to back wheel,about 17 inches
3929,what is the thickness,about 4 inches
3930,how wide is the extendable window kit,36 inches
3931,what is the height of the table,29 12 inches
3932,whats the drop on the bed skirt,about 16 inches
3933,where is this mug manufactured,in the us
3934,would a 3 inch pillar candle fit on one,yes it would
3935,how high is chair from bottom to the arms,26 inches
3936,is this item acid free,yes it is
3937,is this product made inusa,made in china
3938,is it glazed on the inside,yes it was
3939,can you leave on top of the oven when cooking,absolutely
3940,what is the bottom board made of,heavy cardboard
3941,how tall is this item,17 inches
3942,what color are the beads,white
3943,are the stake knifes all straight grind on the edges,yes they are
3944,what is the true height without the lid,7 inches
3945,is the handle black or stainlesspolish nickel,its chrome
3946,what does tob mean,top of bed
3947,what does tob mean,top of bed
3948,how tall is the biggest canister,9 58 inches
3949,is this bpa free,yes it is
3950,is the back finished,yes it is
3951,how much does it weigh,approximately 25 lbs
3952,how tall are these,25 inches
3953,what does the queen size bedspread weigh,approximately 10 lbs
3954,where is it made and the country of origin,made in china
3955,will it work in usa,yes it is
3956,what are the dimensions of the face plate,25x30 inches
3957,is it possible to sleep on the sofa,yes it is
3958,is it easy to assemble the fan,yes it is
3959,made in china,made in thailand
3960,what is the finished diameter of the donuts this makes,about 275 inches
3961,is this a cool touch type toaster,yes it is
3962,is it made in america,made in china
3963,can it work abroad on 220w,absolutely not
3964,are these clear or colored glasses,clear
3965,how tall is the table,29 inches
3966,is the mirror real glass,yes it is
3967,is it bpa free,yes it is
3968,is the grill flat or does it have ridges,its flat
3969,how many inches does this raise your bed,six inches
3970,how high is the dispenserthe dimensions,16 12 inches
3971,is the inside divider removable,yes it is
3972,what is the diameter,26 inches wide
3973,does this roaster heat from the bottom or the sides,both
3974,how much does it weigh,about 60 lbs
3975,how many pans does this come with,only one
3976,is the espresso black in color,it is black
3977,where is this item made,thailand
3978,how many ounces,about 40 ounces
3979,how wide is it,20 inches wide
3980,does this product take care ofcontrol silverfish thanks in advance,i dont know
3981,are the stools 24 inches or 30 inches in height,30 inches
3982,is the color a nice bright white,yes it was
3983,does this works on induction cooktop,i dont know
3984,can be ues in usa,absolutely
3985,i cant find where to select for 110v or 220v,110v only
3986,do the wheels lock,they do not
3987,is it tempered glass,yes it is
3988,whats the diameter of the inner bowls,about 3 inches
3989,where is this manufactured,made in china
3990,what is the height of this coffee maker,13 14 inches
3991,what material is used for the non stick interior,teflon
3992,what is the diameter of the bottom,9 12 inches
3993,how hard is to assemble the table,very easy
3994,is this a wall hugging loveseat,yes it is
3995,what is the recycle number imprinted on the product,there isnt one
3996,is the 18 leaf included with the table,yes it is
3997,is this real wood or manufactured wood,real wood
3998,what is the overall height of the 8 oz cup,3 12 inches
3999,is there a light to see stovetop,yes there is
4000,what is the weight limit on the stools,about 60lbs
4001,is the bottom flat or indented,its flat
4002,do the lids fit the pans,perfectly
4003,where are they made,thailand
4004,are they dishwasher safe,yes they are
4005,has anyone used this with a gas burner,yes works great
4006,does this work on an induction stove,dont know
4007,what is the diameter of the mixer guard,2 12 inches
4008,what is the height of the boraam 36136 shaker bench,18 inches high
4009,will this fit the 12 inch http wwwamazoncomt fal thermo sp,yes it fits
4010,can i use this grinder with 220 volts,i dont know
4011,is this use 220v,only 110v
4012,can grind flax seed or chia seed,yes it can
4013,warranty information,10 years
4014,what is the height of this table,15 12 inches
4015,where is this item made manufactured,made in china
4016,is pillow cover machine washable,yes it is
4017,is this available in king size,it is now
4018,does magnets stick to this,yes they do
4019,how deep is the skillet,about an inch
4020,are any other colors available,sorry no
4021,how tall is it,32 inches
4022,can this be used with the foodsaver wide mouth jar sealer,yes it can
4023,is the plug in a two prong or three prong,three
4024,are the feet removable,yes they are
4025,is this chair by christopher knight,yes it is
4026,will this one snap together with the ribbon dispenser,i dont know
4027,hello there how many inches high is the pillow,about 4
4028,where was it made,south korea
4029,how difficult is the assembly,very easy
4030,what is the height of this end table,22 inches
4031,is this solid wood,yes it is
4032,how far from the floor is the bottom shelf,about 6 inches
4033,what is the size of the hinge,1 34 inches
4034,are these spoons individually wrapped,yes they are
4035,is it induction capable,i dont know
4036,how tall is this stand,3050 inches tall
4037,is the lid glass as well as the base,yes it is
4038,does this juice carrots well,yes very well
4039,are thre three individual temperature settings,yes works great
4040,is it machine washable or dry clean only,dry clean only
4041,can this stockpot be used on induction stoves,yes it can
4042,how tall is this,18 inches
4043,what is the warrenty with this pillow,5 years
4044,is it dishwasher safe,yes it is
4045,does it make potato chips,yes it can
4046,will it work with a full cpap mask,yes absolutely
4047,how long is the danged main ironing surface,495 inches
4048,is this a 2 pack when amazoncom is the seller,yes it is
4049,how many ounces do they hold,12 ounces
4050,where are these mugs made,made in china
4051,does this product use 110 volts,yes it is
4052,is this a wall hugger recliner,yes it is
4053,is there a hole for a straw,yes there is
4054,how quick do dogs cook if fully loaded,2 hours
4055,wanted to clarify width is 169 inches,yes it is
4056,how long is the cord,about 5 feet
4057,how long are the fork and spoon,11 inches
4058,are the valve and thermometer included,yes they are
4059,what is the seat height of these chairs,19 inches
4060,how long are they,8 inches
4061,is the height of the shelves adjustable,yes they are
4062,how tall is this rack please,115 inches tall
4063,what is the width,45 inches
4064,does it rock back and forth,yes very smoothly
4065,are there holes on the button for water to drip,yes there are
4066,what are the dimensions of each of the shelves,approximately 10 inches
4067,how tall is it,675 inches
4068,where is this purifier made,made in china
4069,is there storage behind the bottom panels,yes there is
4070,whats the diameter of the middle shelf,15 inches
4071,is this elegance silver 89891,yes love it
4072,will this fit the candy cloud machine,yes it should
4073,are the sides glass or plastic,they are plastic
4074,how tall is it,18 inches
4075,how long does one filter last,3 months
4076,how come amazon is selling for higher than nesco is,why not
4077,does this need to be preheated,not at all
4078,where were they made,made in china
4079,is this mug microwave safe,yes it is
4080,does it crush ice,yes very well
4081,how wide is this product,approximately 22 inches
4082,what is the warranty on this product,2 years
4083,what is the diameter of the bottle bottom,about 3 inches
4084,is 70 height or width,height
4085,how many ouces of liquid can the cups hold,6 ounces
4086,with stopper how tall is the decanter,10 11 inches tall
4087,do these come with the block,yes they do
4088,will it fit other brands such as lg washerdryer,yes it will
4089,will it work on almonds,works fine
4090,what are the dimensions of the actual seat area,28x13 inches
4091,what is the seat height,34 inches
4092,how far apart are the slats,3 inches
4093,how high is the stand from the floor,25 inches
4094,is this set in the blue box,yes it is
4095,is it dishwasher safe,yes it is
4096,is stufz bpa free,yes it is
4097,what color blue are they,light blue
4098,how tall is this unit,23 inches
4099,where is it made,china of course
4100,is the scale surface smooth or textured,it is smooth
4101,hello i have sodastream jet works with your product,works fine
4102,how tall is the medium chest,22 inches
4103,how wide is the medium chest,18 inches
4104,what is the weight limit for this table,15 pounds
4105,is this reversible,yes it is
4106,what is the length of the hook,4 inches
4107,what are the sizes of this recliner,very small
4108,is there a lock switch,yes there is
4109,is the cover removeable for washing,i think not
4110,are they microwave safe,yes they are
4111,is the interior stainless,yes it is
4112,is that a set of two flasks,no only one
4113,is it fairly easy to assemble,very easy
4114,what is the height of the feet,2 34 inches
4115,is this porcelain or plastic,it is plastic
4116,how tall is this,its 9 inches
4117,can these be used more than once,absolutely
4118,what is the diameter of the bottom plate,10 inches
4119,what is the heigth,approximately 30 inches
4120,what is the depth 12 34 x,12 inch
4121,what is the diameter of the exhaust vent hose,its 6 inches
4122,what is the diameter,5 78 inches
4123,what is the height of this barrell,38 inches
4124,do the shams come with it,they dont
4125,what is the warranty for this unit,1 year
4126,heigth of chair from seat to the ground,24 34 inches
4127,is this chair leather,it is not
4128,can this be used without the legs,definitely not
4129,what is the measurement between the pegs,its 15
4130,is there a reusable podfilter available for this machine,no there isnt
4131,is this item bpa free,yes it is
4132,where is this cooker made,thailand
4133,will it fit a 7x9 bento box,inches
4134,is that 110v or 220 thanks for reply,its 110
4135,what is the diameter of this pot,11 inches
4136,what is the diameter of the individual bowls,8 inches
4137,how wide is it,about 10 inches
4138,how long is the cord,88 inches
4139,what is the guarantee on the caddy,five years
4140,would this hold 8 cupcakes,yes it will
4141,how long is the warranty,three years
4142,what is the weight limit for this shelf,5 pounds
4143,do you do international shipping,sorry no
4144,what is the bookshelf made of,wood particle board
4145,is this pot induction cooktop compatable,yes it is
4146,this incluides the chopsticks,sorry no
4147,will this product fit a dc 59 animal,yes it will
4148,how tall is this one,37 inches tall
4149,how tall is it,29 inches
4150,is it actually white or off white,white
4151,but is it for induction heating,i dont know
4152,how long are the chopsticks,8 inches
4153,how much does it weight,7 pounds
4154,dimensions of product on the outside,18 by 51
4155,in what country was the kettle made,made in china
4156,are these stackable,no they arent
4157,will this hold samsung un46f6300,yes it will
4158,what is the length from top to bottom,it is 32
4159,what is the diameter,4 14 inches
4160,whats the diameter of the bottles opening,2 inches
4161,what is the max weight this cart can handle thanks,224 pounds
4162,what is the weight,about 20lbs
4163,wher it made,made in china
4164,may 1 put some ice in it not ice pack,of course
4165,is the curtain washable,yes it is
4166,is there storage,no there isnt
4167,what color is it is it a lite beige,yes it is
4168,will this top fit my k4632aa tank,yes it will
4169,what is the country of manufacture,south korea
4170,will this support a 17 inch foam mattress,absolutely
4171,will this fit collector cell serial airpsxxz120807 oreck xl,yes it will
4172,will this fit sn airpscst014782,dont know
4173,what size are the cups in ounces,approximately 16 oz
4174,can this adjust down to fit in a 25 closet,yes it can
4175,how much does table weigh,about 31 lbs
4176,how many cans in this set,four
4177,do these work with a food saver machine,yes very well
4178,is this natural foam or polyurethane,i dont know
4179,how long is a twin,75 inches long
4180,what is the length of it,approximately 5 feet
4181,can you ship to serbia and how much,sorry no
4182,will this fit a km406555,yes perfectly
4183,how tall is this dresser,32 inch
4184,how tall it is,322 inches
4185,does the plug have two or three prongs,two prongs
4186,is the ww apron plastic or cloth,cloth
4187,are the caps just screw off caps,yes they are
4188,how much weight is this table,about 60lbs
4189,hello what color is for this coffee table,its black
4190,what is the height between the shelves,115 inches
4191,what color is it white or ivory,white
4192,what color is it,it is black
4193,how tall is this product,9 inches tall
4194,how long is the electric cord,68 inches
4195,how deep are they,about 4
4196,what is the height to the top glass,20 12 inches
4197,what is the height,21inches
4198,what is the manufacturers warranty on the kgb 741 model,5 years
4199,can it be used on a flat top,yes it can
4200,do the lids fit on the skillets,yes they do
4201,is it induction ready rechal ray cook wear,yes it is
4202,is the lid on the canister clear or solid color,its clear
4203,is this bpa free,dont know sorry
4204,what is the internal width,about 6 inches
4205,anyone know where its made made in china,made in china
4206,where are these bowls manufactured,made in china
4207,what size is this,16 ounces
4208,is it easy to assemble and attach the handle,very easy
4209,what is the diameter of round beveled glass,48 inches
4210,how tall are the bookends,about 8 inches
4211,does this iron have an on and off switch,unfortunately no
4212,so how tall is this container,3 12 inches
4213,how far is the keyboard off the ground,approximately 25 inches
4214,what is the height of the keyboard tray,32 inches
4215,how much does it weigh,about 10 pounds
4216,what color does i t dry,white
4217,will this work with sony speakers,i dont know
4218,how tall is this item,15 14 inches
4219,how much space is between the shelves,about 4 inches
4220,about how wide is the silicone tip thx,1 14 inches
4221,what is capacity in ounces,approximately 30 oz
4222,is this solid wood,yes it is
4223,how wide is the draw that opens,13 inches
4224,do these sharpen the same as other knives,yes they do
4225,what is the diameter of the mixer guard,225 inches
4226,do they fold like an umbrella,yes they do
4227,is this heater for the 1lb propane cylinder,yes it is
4228,what is the height of the lack side table,about 50 cm
4229,can you use henry without bags,absolutely not
4230,does the curtain hooks come along with this curtain,no they dont
4231,what is the diameter of the overflow plate,approximately 3 18
4232,is the finish like an espresso color,yes it is
4233,will they fit over a casserole dish 13x9,unfortunately no
4234,how high off the ground is the seat,17 inches
4235,what is the diameter of the poles legs,1 inch
4236,what is the height without the lid,24 inches
4237,how many ounces does the water reservoir hold,50 ounces
4238,what is the largest diameter tortilla this can make,10 12 inches
4239,what color is this chair is it gray,yes it is
4240,is this a white or off white,it is white
4241,is it teflon inside or stainless steel,its teflon
4242,is the loaf pan teflon or ceramic or stainless,its teflon
4243,is it stainless steel,yes it is
4244,how much does this marble board weigh,25 pounds
4245,where is this comforter made,made in china
4246,whats the diameter of the bottom part of the pan,about 9 inches
4247,will it work on an induction range,yes it will
4248,where was this product made,the us
4249,is the black color a true black,its black
4250,how high is the middle section,31 inches
4251,how high is it,about 100 cm
4252,how tall are the glases,8 12 inches
4253,is there a drip tray,yes there is
4254,what is the height of the back from the seat,about 11 inches
4255,what is the adjustable seat height,24 31 inches
4256,how tall is each tube,3 inches
4257,would this cart fit a keurig machine on it,easily
4258,are the back and arms leather,yes they are
4259,hi is it 14 inch or 15,14 inch
4260,is it dishwasher safe,yes it is
4261,is this product right size for 750 ml wine bottles,it is
4262,how tall is it,14 12 inches
4263,how wide is it,about 10
4264,what is the distance between slats,about 3 12
4265,how deep are the pockets,over 12 inches
4266,how tall is it exactly measurements,31 inches
4267,is this white or beige,white
4268,what is the measurement of the bed outside length,80 inches
4269,are these plates microwave safe,yes they are
4270,how deep are the shelves,two inches
4271,how deep is the dish portion of this piece,3 inches
4272,what is the size of these,6 by 10
4273,my last one it rusted has yours,not at all
4274,how big or wide in inches is the machine,11 inches wide
4275,is this duvet an insert,yes it is
4276,is the top polished or honed,polished
4277,is 48the diameter,yes it is
4278,how tall is the table,30 inches tall
4279,how high does the seat go,32 inches
4280,what is the back of seat height,about 12 inches
4281,is this a baffle box construction featherbed,yes it is
4282,how long do these tools measure from tip to tip,14 inches
4283,where is this dinner set made china,dont know
4284,what is the height,31 inches
4285,where is this made is it made in japan,thailand
4286,do the pillow encasement help with bed bugs,yes they do
4287,is this knive for left hand or right hand,right handed
4288,are these containers microwave safe,yes they are
4289,how many oz does this hold,8 ounces
4290,what is the width of the ottoman,almost 20 inches
4291,is the color beige linen,light gray
4292,where is made from,made in china
4293,feux leather or fabric,leather
4294,how tall is it,28 inches
4295,does this contain any lead,i dont know
4296,plastic or ceramic,it is plastic
4297,what is the diameter of the heating surface,3 12 inches
4298,where is it made,china of course
4299,color of unit what color is the dispenser,white
4300,is it made in portugal,yes it is
4301,can anyone tell me how long the cord is,about 6 feet
4302,is the surface of this skillet smooth or texturedpebbled,smooth
4303,is the surface of this fry pan smooth or pebbled,smooth
4304,is this made in china or italy,in china
4305,what is the width of the twin headboard,about 5 inches
4306,how tall is it when fully lifted,its 28 inches
4307,can this be used on stovetop to cook soup,absolutely not
4308,will the king size headboard accommodate boxspring and mattress,yes absolutely
4309,how long is cord,about 20 ft
4310,how many ounces are the individual containers,16 ounces
4311,how deep is this pan,5 inches
4312,do you have this on different color,of course
4313,where are these side tables made coaster 900975,i think china
4314,what color are the bags,white
4315,how high is the seat from the floor,about 16ft
4316,will this fit a queen,yes definitely
4317,how tall is it,16 inches tall
4318,how long is it,five feet
4319,what is the shipping charge for 10 of these,roughly 12
4320,what is the height of this plantphone stand,30 inches
4321,what is the diameter of the jug,about 7
4322,this frame eliminates the need for a box spring correct,that is correct
4323,does it pivot or swivel on the curved hook,yes they do
4324,how many inches in diameter with both sides put together,6 34 inches
4325,what are the dimensions of each block,6 by 5
4326,are these 100 food grade silicone,great item
4327,what is the height between each shelf,14 12 inches
4328,will it fit black and decker 12 cup model cm4000s,yes it will
4329,is this cookware induction ready,yes they are
4330,how much does it weigh,22 pounds
4331,is it dry clean only or machine washable,dry clean only
4332,how many ounces does it hold,16 ounces
4333,how many inches between shelves,135 inches
4334,is this chair real leather or bonded leather,bonded leather
4335,what is the height,3025 inches
4336,is the inside container made of stainless steel,yes it is
4337,do the lids have a gasket on them,yes they do
4338,whats the country of origin,made in china
4339,what is the diameter of the wheels,5 inches
4340,where was this made,california
4341,do the pillows a part of the 7 pieces,yes they are
4342,will it work for adjustable bed,yes it will
4343,what country is this mattress made in thanks,made in china
4344,what is the diameter of the bowl,2 38 inches
4345,can you use it for mouthwash,i dont know
4346,what color is the base black or bronze,it is black
4347,how big in the lid opening,45 inches
4348,bobkona jaden colletion is it true white or off white,off white
4349,is this the same product used for making bread,yes it is
4350,is the frame construction of real oak or mdf,real wood
4351,can you ship the item to india,yes we can
4352,what is the width of the bookcase,17 inches
4353,how long is the screw,about 12
4354,is this red or white in color,white
4355,how tall is the stand,about 3ft
4356,height,438 inches
4357,what color are they,white
4358,what is the height from the seat to the floor,20 inches
4359,how wide is the base,32 inches
4360,how wide is the mouth of the carafe,around 2
4361,about how many bottles of wine would the racks hold,about 26
4362,can i get this in 220v,110v only
4363,what color is the inside of the pot,white
4364,what is the black surface plastic,it is glass
4365,how tall is the unit without the casters,2425 inches
4366,do the wool fibers migrate out,not yet
4367,is there a maple leaf shape,no there isnt
4368,what is the diameter of the seat,18 inches
4369,when folded what is the width,i dont know
4370,is this set made in usa,yes it is
4371,is this a 6 count order 6 bottles,yes it is
4372,whatis the height of this unit,23 inches
4373,does it come in other colors or fabric,sorry no
4374,is this book a hard cover or paperback,hard copy
4375,is the mounting hardware included with the curtain rod,yes it is
4376,what is the size of each waffle,about 4 in
4377,what is the seat height,24 inches
4378,is this swivel,yes it is
4379,how long is the power cord,18 inches
4380,where is this made,in china
4381,how big is the seat itself,about 14
4382,what is total height,34 inches
4383,what is the diameter,48 inches
4384,what isw diameter,48 inches
4385,is it a wide mouth jar,yes it is
4386,is the interior stainless steel,mine is not
4387,is it all stainless steel outside,yes it is
4388,is the stick part round or square at the bottom,round
4389,is this part for hamilton beach blender model 610 6,yes it is
4390,how thick are the wafflles,about 12 inch
4391,what is the height of this stand,about 24
4392,how often do i need to buy a replacement filter,6 months
4393,how wide is it,58 inches
4394,the coffee comes with a plastic taste or smell,not at all
4395,is this ul listed,yes it is
4396,where is this made,china of course
4397,what is the lowest height it is adjustable to,22 inch
4398,does fan operate without scent cartridge,yes it can
4399,how far above the floor is the bottom shelf,4 5 inches
4400,how long is the electric cord on oster tssttr toaster,approx 30 inches
4401,can the suction cup be removed,yes it can
